,Название,Описание,Цена,words
10,Одежда~Аксессуары~Пропитка~Средство для стирки Holmenkol Textile Wash 500,"Специальная жидкость для стирки высококачественной спортивной одежды. 
Подходит для всех типов мембран. GORE-TEX® и других*, подходит для всех типов утеплителей: Thinsulate, Thermolite, PrimaLoft и других, а также для эластичных тканей. 
Мягко и гигиенично очищает ""дышащую"" спортивную одежды, предотвращает появление неприятных запахов. Не содержит отбеливателей.",1350,"стирка_NOUN,пропитка_NOUN,одежда_NOUN,аксессуар_NOUN,средство_NOUN"
11,Одежда~Аксессуары~Губная помада Holmenkol Lippenpflegestift Lip Balm,"Губная помада с защитой от ультрафиолета. Фактор 20. 
Защищает губы от пересыхания и внешних воздействий (ветер, ультрафиолет)",270,"помада_NOUN,аксессуар_NOUN,губной_ADJ,одежда_NOUN"
12,Одежда~Аксессуары~Крем для согревания ног Holmenkol Warm Feet,"Крем для согревания ног Warm Feet. 
Специальный состав обеспечивает приятный, согревающий эффект сразу же после нанесения и сохраняется на несколько часов. 
Обильно увлажняет кожу и быстро впитывается.",690,"согревание_NOUN,крем_NOUN,нога_NOUN,одежда_NOUN,аксессуар_NOUN"
13,Одежда~Аксессуары~Пропитка~Средство для стирки Holmenkol 2в1 Wash Proof,"Средство для стирки спортивной одежды с водоотталкивающим действием Wash Proof. 
Экологически чистая жидкость на водяной основе. подходит для мембранных тканей (Gore-Tex®), не нарушает дышащие свойства. 
Защищает от воды и грязи. 
При деликатном нагреве при сушке активируется водоотталкивающий компонент обеспечивая влагозащиту.",920,"стирка_NOUN,пропитка_NOUN,одежда_NOUN,аксессуар_NOUN,средство_NOUN"
14,Одежда~Аксессуары~Пропитка~Средство для стирки Holmenkol Textile Wash 250,"Специальная жидкость для стирки высококачественной спортивной одежды.
Подходит для всех типов мембран. GORE-TEX® и других*, подходит для всех типов утеплителей: Thinsulate, Thermolite, PrimaLoft и других, а также для эластичных тканей.
Мягко и гигиенично очищает ""дышащую"" спортивную одежды, предотвращает появление неприятных запахов. Не содержит отбеливателей.",880,"стирка_NOUN,пропитка_NOUN,одежда_NOUN,аксессуар_NOUN,средство_NOUN"
15,"Одежда~Рубашки, толстовки, свитера~Толстовки~Свитшот Birds and Blokes BLDR","Мужской свитшот из уютного двух-ниточного футера. 
Варианты: полностью из футера и с бочками из эластичного хлопка. 
Хороший выбор для скальных трасс в холодных районах, прогулок прохладными вечерами и просто, когда хочется надеть мягкую и приятную кофту. Эластичные манжеты на рукавах и по низу. 
Принт водными красками.",2250,"рубашка_NOUN,толстовка_NOUN,свитер_NOUN,одежда_NOUN"
16,Одежда~Футболки~Футболка Birds and Blokes Terrain,"Мужская футболка из хлопка с эластаном ""paris"". 
Свободный крой. 
Принт по низу футболки сделан водной краской, ""дышит"". 
В футболке удобно тренироваться, да и в любой другой ситуации она будет хороша!",1400,"футболка_NOUN,одежда_NOUN"
17,Одежда~Футболки~Футболка Birds and Blokes GEO,"Мужская футболка из хлопка с эластаном ""paris"". 
Свободный крой. 
Для всех, кто искренне любит боулдеринг!
Принт на груди и по низу футболки выполнен водной краской.",1350,"футболка_NOUN,одежда_NOUN"
18,Походное снаряжение~Горнолыжное снаряжение~Снегоступы~Снегоступы TSL 305 Expedition Grip,"Технологичные и стабильные снегоступы, обладающие исключительным сцеплением, благодаря дополнительным задним сцепным планкам.
Регулируемые крепления с системой “GLOBAL MEMORY BINDING” обеспечивают упругость и гибкость.
Отличные снегоступы для нормальных и крутых маршрутов. 
Технические и стабильные снегоступы TSL EXPEDITION GRIP 305 идеальны для покорения равнин и крутых горных склонов. Они обеспечивают отличное сцепление с любым рельефом, благодаря передним зубьям, шести стальным шипам и крепким боковым кошкам. Эластичное крепление гарантирует максимальный комфорт во время ходьбы.

Особенности:
- Hourglass shape – дека в форме песочных часов обеспечивает удобную и естественную ходьбу
- Design 3D – края деки разной высоты улучшают сцепление на склонах, а также обеспечивают отличный контакт со всеми видами снега
- эластичное крепление обеспечивает высокий уровень гибкости стопы
- Lock Adjustment – простая в использовании регулировка, которая запоминает размер вашей обуви
- Memory Lock System обеспечивает быстрое и эффективное затягивание, а также запоминает предыдущий объем обувь
- система боковой регулировки Lateral Adjust позволяет зафиксировать ботинок любой ширины
- Ankle PRE-ADJUST позволяет расположить подушечку на подъеме по центру и зафиксировать ее позицию
- мягкий комфортный ремешок
- фиксация с помощью храпового механизма
- Sound and Shock Absorbing System (S.S.A.S.) – запатентованная система поглощения шума и вибраций при движении в снегоступах
- Easy Ascent Heel lift облегчает ходьбу во время длительных подъемов и уменьшает утомляемость икроножных мышц (активируется нажатием трекинговой палкой)
- передние зубцы для максимального сцепления на крутых склонах
- 6 сменных стальных шипов
- прочные боковые кошки
- сумка-чехол для удобной транспортировки",14350,"горнолыжный_ADJ,снаряжение_NOUN,снегоступ_NOUN,походный_ADJ"
19,Походное снаряжение~Горнолыжное снаряжение~Снегоступы~Снегоступы TSL 325 Expedition Grip,"Технологичные и стабильные снегоступы, обладающие исключительным сцеплением, благодаря дополнительным задним сцепным планкам. 
Регулируемые крепления с системой “GLOBAL MEMORY BINDING” обеспечивают упругость и гибкость. 
Отличные снегоступы для нормальных и крутых маршрутов.",14350,"горнолыжный_ADJ,снаряжение_NOUN,снегоступ_NOUN,походный_ADJ"
20,Одежда~Аксессуары~Шапки~Шапка SIVERA Кубра 2.0,"Невероятно лёгкая и компактная утеплённая шапка, обеспечивающая при этом великолепную защиту головы от холода и ветра на экспедиционном биваке или просто при отдыхе на природе. 
Применён лучший из непрерывно-волоконных (continuous filaments) утеплителей Climashield Apex, обладающий превосходными теплоизоляционными характеристиками и высокой долговечностью.",1400,"аксессуар_NOUN,шапка_NOUN,одежда_NOUN"
21,Походное снаряжение~Посуда~Кружки~Набор посуды GSI Ultralight Nesting Bowl + Mug,"Эргономичная, ультралегкая двойная миска с крышкой для холодных и горячих напитков. 
Внутренняя кружка оснащена чехлом из EVA, который позволит Вам комфортно держать горячие напитки и еду, исключая риск обжечь руки. 
Полностью перерабатываемый полипропилен серии Cascadian® гарантирует долгий срок службы. 
Конструкция с низким центром тяжести минимизирует риск переворачивания. 
Плотно сидящая крышка предотвращает проливание содержимого.",890,"снаряжение_NOUN,кружка_NOUN,походный_ADJ,набор_NOUN,посуда_NOUN"
22,Походное снаряжение~Рюкзаки~Гермомешки~Гермобокс GSI Lexan Gear Box,"Водонепроницаемый, ударопрочный бокс из поликарбонатной смолы Lexan® для безопасной перевозки и хранения ценных вещей: видео или фотокамер, оптики, приборов... Две защелки, петли для крепления ремней.",1980,"снаряжение_NOUN,рюкзак_NOUN,походный_ADJ"
23,"Походное снаряжение~Посуда~Котлы, кастрюли, сковороды.~Котелок GSI Glacier Stainless 1.1 л Boiler","Небольшой удобный котелок со складной ручкой.
Внутри котелка выгравирована шкала объема.",3200,"кастрюля_NOUN,снаряжение_NOUN,котел_NOUN,котелок_NOUN,сковорода_NOUN,походный_ADJ,посуда_NOUN"
24,Походное снаряжение~Посуда~Наборы посуды~Набор посуды GSI Glacier Stainless Minimalist,"Легкий и компактный набор посуды.
Особенностью этого набора является стальной котелок, в который поместится даже небольшая горелка (в комплект не входит) и баллон 110 грамм.
В комплект входит котелок с герметичной крышкой, складная ложковилка, прихватка с магнитом, чтобы не потерялась.",3200,"снаряжение_NOUN,походный_ADJ,набор_NOUN,посуда_NOUN"
25,Походное снаряжение~Посуда~Кружки~Бокал GSI Glacier Stainless Stemless Wine Glass,"Изысканный винный бокал без ножки создаст романтическую атмосферу в полевых условиях. 
Низкий центр тяжести и специальный дизайн дна делают этот бокал невероятно устойчивым даже на неровных поверхностях и шатких раскладных столиках.",1390,"снаряжение_NOUN,кружка_NOUN,бокал_NOUN,походный_ADJ,посуда_NOUN"
26,"Походное снаряжение~Посуда~Котлы, кастрюли, сковороды.~Горелка с кастрюлей GSI Pinnacle Soloist Complete","Компактная и легкая интегрированная система для приготовления пищи от американской компании GSI включает в себя котелок 1,1 л., со складной ручкой и плотной полимерной крышкой с встроенным ситечком. Удобный упаковочный мешок служит для фиксации набора во время путешествия и, кроме того, может использоваться в качестве емкости для мытья посуды во время привала. Кружка и тарелка с низким центром тяжести, что способствует их устойчивости.
Кружка удобно помещается в миску, которая в свою очередь компактно располагается в котелке вместе с ложко-вилкой, баллоном 230 гр. и горелкой.",11550,"кастрюля_NOUN,снаряжение_NOUN,котел_NOUN,горелка_NOUN,сковорода_NOUN,походный_ADJ,посуда_NOUN"
27,"Походное снаряжение~Посуда~Котлы, кастрюли, сковороды.~Горелка с кастрюлей GSI Pinnacle Dualist Complete","Компактная и легкая интегрированная система для приготовления пищи от американской компании GSI включает в себя котелок 1,8 л., со складной ручкой и плотной полимерной крышкой с встроенным ситечком. Удобный упаковочный мешок служит для фиксации набора во время путешествия и, кроме того, может использоваться в качестве емкости для мытья посуды во время привала. Кружки и тарелки с низким центром тяжести, что способствует их устойчивости.
Кружки удобно помещаются в миски, которые в свою очередь компактно располагаются в котелке вместе с двумя ложками-вилками, баллоном 230 гр. и горелкой.",14120,"кастрюля_NOUN,снаряжение_NOUN,котел_NOUN,горелка_NOUN,сковорода_NOUN,походный_ADJ,посуда_NOUN"
28,Одежда~Аксессуары~Шапки~Бандана E9 Elsa,"Бандана, шапка, шарф и подшлемник - все в ""одном флаконе""",1950,"бандана_NOUN,аксессуар_NOUN,шапка_NOUN,одежда_NOUN"
29,Одежда~Футболки~Майка E9 Noa,Комфортная майка с поддержкой груди и съемными чашечками.,4700,"майка_NOUN,футболка_NOUN,одежда_NOUN"
30,Альпинизм и скалолазание~Мешочки для магнезии~Мешочек для магнезии E9 ZUCCA,Большой мешочек для магнезии из контрастных лоскутков.,1750,"скалолазание_NOUN,мешочек_NOUN,альпинизм_NOUN,магнезия_NOUN"
31,"Одежда~Рубашки, толстовки, свитера~Толстовки~Толстовка E9 Culci","Теплая флисовая женская толстовка с капюшоном и карманом-кенгуру.
Регулируемый капюшон, свободный крой, оригинальный дизайн.",7950,"рубашка_NOUN,толстовка_NOUN,свитер_NOUN,одежда_NOUN"
32,Одежда~Брюки~Скалолазные брюки~Брюки E9 Andre,"Женские скалолазные брюки с широким эластичный поясом. Он не выбивается из-под обвязки, не трет и не пережимает живот. 
Регулируемый низ. 
Сделано в Италии.",7550,"брюки_NOUN,одежда_NOUN"
33,Одежда~Брюки~Скалолазные брюки~Брюки E9 Onda Slim Art,"Скалолазные женские брюки из мягкой хлопковой ткани, которые хорошо будут смотреться не только на скалах, но и в городе.
Держатель для щетки.
Карманы выделены контрастным цветом.
Регулируемый пояс и низ штанин.
Сделано в Италии.",8750,"брюки_NOUN,одежда_NOUN"
34,Одежда~Брюки~Скалолазные брюки~Брюки E9 Mix,"Скалолазные женские брюки из мягкой хлопковой ткани, которые хорошо будут смотреться не только на скалах, но и в городе.
Две петли для щеток.
Карманы выделены контрастным цветом.
Регулируемый пояс и эластичный низ штанин.
Сделано в Италии.",8150,"брюки_NOUN,одежда_NOUN"
35,"Одежда~Рубашки, толстовки, свитера~Толстовки~Толстовка E9 Arloc","Теплая флисовая толстовка с капюшоном и карманом-кенгуру. 
Регулируемый капюшон, свободный крой, оригинальный дизайн.",7750,"рубашка_NOUN,толстовка_NOUN,свитер_NOUN,одежда_NOUN"
36,"Одежда~Рубашки, толстовки, свитера~Толстовки~Толстовка E9 Band","Теплая флисовая толстовка с капюшоном и карманом-кенгуру.
Регулируемый капюшон, свободный крой, оригинальный дизайн.",8150,"рубашка_NOUN,толстовка_NOUN,свитер_NOUN,одежда_NOUN"
37,Походное снаряжение~Горнолыжное снаряжение~Биперы~Лавинный датчик PIEPS POWDER BT,"Pieps Powder BT - это высокопроизводительный лавинный датчик с возможностью подключения PIEPS APP. Датчик предназначен для легкого и быстрого нахождения пострадавших в лавине. Благодаря технологии DSP (обработка сигнала с помощью цифрового процессора сигналов) и системе антен, датчик  значительно облегчает поиск, особенно в случае, когда пострадало несколько человек.
Возможность проверки и обновления ПО.
Полная самодиагностика: обзор всех соответствующих параметров и элементов программы, а также отображение текущей версии программного обеспечения.
Изображение на дисплее идеально читается при любом освещении.
AUTO-ANTENNA-SWITCH. Если передающая антенна неисправна из-за помех от работы других электронных устройств или металлических предметов, она автоматически переключается на другую антенну. 
AUTO-SEARCH-TO-SEND. Эта функция автоматически переключает PIEPS POWDER BT из режима поиска в режим передачи, если маяк не движется в течение определенного времени.
Pieps Powder BT можно временно отключить с помощью смарт-iPROBE. Принимающее устройство автоматически получит следующий самый сильный сигнал.
Групповая проверка. Датчик проверяет активность и параметры передачи устройства -партнера. PIEPS рекомендует выполнять групповую проверку перед каждым выходом.
Датчик достаточно компактный и легкий, его удобно носить в специальном неопреновом чехле с мягким плечевым ремнем.
Quick-Pull-System для быстрого доступа к устройству.",25200,"снаряжение_NOUN,горнолыжный_ADJ,лавинный_ADJ,датчик_NOUN,походный_ADJ"
38,Походное снаряжение~Горнолыжное снаряжение~Биперы~Лавинный датчик PIEPS PRO BT,"Pieps Pro BT - высокопроизводительный лавинный датчик с технологией бипера самого высокого уровня. Датчик предназначен для легкого и быстрого нахождения пострадавших в лавине. Датчик значительно облегчает поиск, особенно в случае, когда пострадало несколько человек.
Возможность проверки и обновления ПО.
Полная самодиагностика: обзор всех соответствующих параметров и элементов программы, а также отображение текущей версии программного обеспечения.
Изображение на дисплее идеально читается при любом освещении.
AUTO-ANTENNA-SWITCH. Если передающая антенна неисправна из-за помех от работы других электронных устройств или металлических предметов, она автоматически переключается на другую антенну. 
Проверка сигнала: только подтвержденный сигнал 457kHz отображается на дисплее, датчик не путает истинный сигнал с индикацией сигнала «призрака»!
AUTO-SEARCH-TO-SEND. Эта функция автоматически переключает PIEPS POWDER BT из режима поиска в режим передачи, если маяк не движется в течение определенного времени.
PIEPS POWDER BT можно временно отключить с помощью смарт-iPROBE. Принимающее устройство автоматически получит следующий самый сильный сигнал.
Групповая проверка. Датчик проверяет активность и параметры передачи устройства -партнера. PIEPS рекомендует выполнять групповую проверку перед каждым выходом.
SCAN-функция дает возможность увидеть все скрытые устройства в пределах своего рабочего диапазона.
Лавинный датчик PIEPS PRO BT сканирует весь диапазон приема и отображает 3 ближайших объекта поиска.
Аналоговый режим можно использовать как для конкретных стратегий поиска, так и для демонстрационных целей.
​Дополнительная информация. PIEPS TX600 мини-передатчик для собак и спасательного оборудования, который передает сигнал согласно стандартам EN300718 может быть принят лавинным датчиком PIEPS PRO BT.
Прибор может измерять угол наклона.
Датчик достаточно компактный и легкий, его удобно носить в специальном неопреновом чехле с мягким плечевым ремнем.
Quick-Pull-System для быстрого доступа к устройству.",33600,"снаряжение_NOUN,горнолыжный_ADJ,лавинный_ADJ,датчик_NOUN,походный_ADJ"
39,Походное снаряжение~Рюкзаки~Рюкзаки от 30 до 50 литров~Рюкзак PIEPS SUMMIT 40,PIEPS SUMMIT - профессиональный рюкзак для всех видов зимнего альпинизма и катания на лыжах.,16800,"снаряжение_NOUN,рюкзак_NOUN,походный_ADJ,литр_NOUN"
40,Походное снаряжение~Рюкзаки~Рюкзаки от 20 до 30 литров~Рюкзак PIEPS TRACK 30,PIEPS TRACK - идеальный рюкзак для всех видов катания на горных лыжах.,14200,"снаряжение_NOUN,рюкзак_NOUN,походный_ADJ,литр_NOUN"
41,Походное снаряжение~Горнолыжное снаряжение~Лопаты~Лопата PIEPS C 660,"Лопата PIEPS Shovel C имеет низкий вес и оптимальную устойчивость. 
Уникальную С-образную ручку удобно держать даже в толстых варежках. 
Телескопическая ручка с овальным профилем не прокручивается в руках во время копания, а заостренное лезвие совка легко режет жесткий и спрессованный снег. 
Совок можно закреплять в виде ковша/мотыги. 
Также на совке имеется встроенная открывалка для бутылок.
Система быстрой сборки соединяет ручку и совок без нажатия кнопок.",5950,"горнолыжный_ADJ,снаряжение_NOUN,походный_ADJ,лопата_NOUN"
42,Одежда~Футболки~Футболка E9 Plash,Мужская футболка с коротким рукавом и логотипом компании.,3650,"футболка_NOUN,одежда_NOUN"
43,Одежда~Брюки~Скалолазные брюки~Брюки E9 Mao,"Комфортные женские скалолазные брюки свободного кроя с широким поясом. 
Они сделаны из мягкой хлопковой ткани, и будут хорошо смотреться не только на скалах, но и в городе.
Петля для щетки.
Регулировка внизу штанин.
Сделано в Италии.",7950,"брюки_NOUN,одежда_NOUN"
44,Одежда~Брюки~Скалолазные брюки~Брюки E9 Blat1 vs,"Скалолазные штаны из прочной эластичной ткани, которые хорошо будут смотреться не только на скалах, но и в городе.
Подложка из контрастной ткани.
Боковые карманы выделены контрастным цветом.
Эластичный пояс и низ штанин.
Сделано в Италии.",9150,"брюки_NOUN,одежда_NOUN"
45,Одежда~Брюки~Скалолазные брюки~Брюки E9 Rondo Dump,"Скалолазные штаны из мягкой хлопковой ткани, которые хорошо будут смотреться не только на скалах, но и в городе.
Карман для щетки.
Карманы выделены контрастным цветом.
Эластичный пояс, регулируемый низ штанин.
Сделано в Италии.",8550,"брюки_NOUN,одежда_NOUN"
46,Одежда~Брюки~Скалолазные брюки~Брюки E9 Fuoco,"Скалолазные штаны из прочной эластичной ткани, которые хорошо будут смотреться не только на скалах, но и в городе.
Петли для ремня.
Логотип на заднем кармане.
Сделано в Италии.",8750,"брюки_NOUN,одежда_NOUN"
47,Одежда~Аксессуары~Шапки~Шапка E9 Condom,Прикольная и оригинальная вязанная шапка.,2850,"аксессуар_NOUN,шапка_NOUN,одежда_NOUN"
48,Одежда~Аксессуары~Шапки~Шапка E9 Cuf,Вязанная шапка с логотипом фирмы.,2450,"аксессуар_NOUN,шапка_NOUN,одежда_NOUN"
49,Одежда~Аксессуары~Шапки~Шапка E9 Jam,"Вязанная шапка, шарф, снуд.",2450,"аксессуар_NOUN,шапка_NOUN,одежда_NOUN"
50,Альпинизм и скалолазание~Мешочки для магнезии~Мешочек для магнезии E9 Goccia,Удобный мешочек для магнезии.,1550,"скалолазание_NOUN,мешочек_NOUN,альпинизм_NOUN,магнезия_NOUN"
51,Альпинизм и скалолазание~Мешочки для магнезии~Мешочек для магнезии E9 Osso,Простой мешочек для магнезии с логотипом фирмы.,1550,"скалолазание_NOUN,мешочек_NOUN,альпинизм_NOUN,магнезия_NOUN"
52,Альпинизм и скалолазание~Мешочки для магнезии~Мешочек для магнезии E9 Gulp,"Большой мешок для любителей боулдеринга. 
На мешке есть пояс и крючок.",2250,"скалолазание_NOUN,мешочек_NOUN,альпинизм_NOUN,магнезия_NOUN"
53,Одежда~Брюки~Скалолазные брюки~Брюки E9 Onda Slim,"Скалолазные женские брюки из мягкой хлопковой ткани, которые хорошо будут смотреться не только на скалах, но и в городе.
Держатель для щетки.
Карманы выделены контрастным цветом.
Регулируемый пояс и низ штанин.
Сделано в Италии.",8350,"брюки_NOUN,одежда_NOUN"
54,Одежда~Брюки~Скалолазные брюки~Брюки E9 Leg Hemp,"Удобные скалолазные брюки, которые также хорошо подойдут любителям йоги, степа и других видов фитнеса.",6100,"брюки_NOUN,одежда_NOUN"
